Artist Name,Track Name,Danceability,Energy,Loudness,Mode,Speechiness,Acousticness,Liveness,Valence,Tempo,Duration,Time Signature
DaBaby,Baby Sitter (feat. Offset),0.852,0.73,-5.803,1,0.0579,0.0219,0.336,3.94e-06,92.506,157693.0,4
Mura Masa,Teenage Headache Dreams (with Ellie Rowsell),0.347,0.411,-8.071,1,0.0414,0.0181,0.0975,3.95e-06,171.991,283013.0,4
Clairmont The Second,intres-ting,0.796,0.441,-9.83,1,0.292,0.16,0.118,3.71e-06,158.105,137872.0,4
Krankhead,Cut Throat,0.805,0.448,-9.452,1,0.112,0.0602,0.113,7.75e-06,160.018,138000.0,4
The Stone Roses,Driving South,0.472,0.947,-6.128,1,0.0774,9.43e-06,0.364,7.5e-06,98.784,309867.0,4
R3HAB,Whiplash - Acoustic,0.556,0.188,-12.161,1,0.0316,0.494,0.119,1.84e-06,138.091,145217.0,4
"IndianRaga, Akshay Anantapadmanabhan, Madhu Iyer, Sri Poornima Krishna Emani",Swagatham Krishna - Mohanam - Adi,0.548,0.711,-8.44,1,0.107,0.542,0.355,6.18e-06,119.675,4.015633333,3
MC Hammer,U Can't Touch This,0.867,0.517,-13.222,0,0.0875,0.00456,0.0864,8.66e-06,133.148,257360.0,4
duendita,Open Eyes,0.341,0.47,-10.144,1,0.037,0.226,0.518,2.03e-06,144.109,204280.0,4
Rainbow,Since You Been Gone,0.733,0.726,-6.514,1,0.0371,0.379,0.471,9.15e-06,120.814,197160.0,4
fijitrip,Private Social Network,0.696,0.661,-5.996,1,0.0877,0.00103,0.114,3.97e-06,121.032,180822.0,4
Machine Gun Kelly,love race (feat. Kellin Quinn),0.517,0.848,-4.054,1,0.0521,0.00581,0.214,4.29e-06,95.906,188779.0,4
ShittyCT,Mahapecha Shel Simcha,0.437,0.948,-4.287,0,0.092,0.000234,0.0876,5.1700000000000005e-06,170.023,180293.0,4
Tetrarch,Negative Noise,0.384,0.974,-3.647,0,0.141,0.000153,0.226,1.55e-06,194.842,247370.0,4
Dreezy,Where Them $ @,0.858,0.525,-7.332,1,0.148,0.0443,0.197,3.51e-06,170.875,193962.0,4
The Ayoub Sisters,Mother's Pride,0.297,0.0958,-20.316,1,0.0384,0.844,0.126,2.96e-06,80.672,3.503783333,4
Brandon Jack & The Artifacts,four days,0.516,0.948,-3.994,1,0.0644,0.0279,0.15,9.57e-06,170.087,130329.0,4
Moon Guitar,Struna,0.32,0.242,-15.17,1,0.0422,0.941,0.165,4.31e-06,81.09,2.817633333,4
Vieux Farka Tour√©,Bonheur,0.569,0.751,-12.826,1,0.0418,0.365,0.0561,7.58e-06,105.156,338292.0,4
Kvelertak,Crack of Doom (feat. Troy Sanders),0.357,0.977,-6.489,0,0.124,1.6e-05,0.105,2.8000000000000003e-06,159.81,233929.0,4
Better Than Ezra,Good,0.615,0.657,-6.873,1,0.029,0.000372,0.132,7.92e-06,109.95,185093.0,4
Silversun Pickups,Lazy Eye,0.633,0.831,-5.053,1,0.0461,0.0401,0.117,2.43e-06,127.397,354360.0,4
Lilly Wood and The Prick,A Song,0.618,0.438,-7.495,1,0.0762,0.407,0.5,6.51e-06,155.014,209307.0,4
Orange Juice,Rip It Up,0.881,0.546,-9.357,1,0.0407,0.0532,0.0497,8.52e-06,102.814,320413.0,4
U2,The Blackout,0.624,0.528,-9.103,0,0.0344,0.0286,0.0866,3.3e-06,120.049,285933.0,4
The Clash,The Magnificent Seven - Remastered,0.799,0.789,-8.208,1,0.0395,0.0595,0.0338,8.31e-06,116.083,333520.0,4
Victor Manu,Raphaela,0.494,0.0634,-19.203,1,0.044,0.984,0.11,1.5e-06,78.227,3.014916667,4
The Last Shadow Puppets,Bad Habits,0.52,0.642,-7.546,1,0.0434,0.000517,0.0794,4.49e-06,88.967,180968.0,4
Anne-Marie,Our Song,0.595,0.759,-4.245,0,0.0423,0.141,0.172,5.15e-06,80.953,163733.0,4
How Lucky,"Kurt Vile, John Prine",0.523,0.441,-9.928,1,0.0311,0.465,0.365,4.9e-06,171.246,3.385116667,4
Sly & The Family Stone,"I Want To Take You Higher - Live at The Woodstock Music & Art Fair, August 17, 1969",0.566,0.943,-10.359,1,0.123,0.00488,0.728,3.24e-06,117.813,403027.0,4
Veruca Salt,Seether,0.612,0.86,-9.175,1,0.044,0.00253,0.158,6.87e-06,136.212,196467.0,4
Juice WRLD,Life's A Mess (feat. Halsey),0.63,0.446,-8.9,1,0.0351,0.337,0.166,1.77e-06,143.078,202193.0,4
BENEE,C U,0.521,0.532,-11.492,0,0.0357,0.563,0.386,3.26e-06,95.19,180533.0,4
Ganser,Self Service - Adam Faulkner / Girl Band Remix,0.185,0.865,-10.522,1,0.0576,0.000632,0.112,7.89e-07,84.031,207465.0,3
Dion,Blues Comin‚Äô On,0.532,0.685,-6.577,0,0.0318,0.0208,0.303,6.48e-06,140.036,288071.0,4
Nick Cave & The Bad Seeds,Deanna,0.415,0.94,-4.874,1,0.0889,0.0049,0.144,4.39e-06,134.392,225627.0,4
Soen,Lotus,0.425,0.403,-9.343,0,0.0273,0.0792,0.113,1.35e-06,155.761,323931.0,4
Vani Jairam,Bole Re Papihara,0.373,0.707,-9.566,0,0.0562,0.668,0.361,7.5e-06,89.1,3.578883333,4
Liam Gallagher,Once,0.39,0.646,-3.961,1,0.0372,0.0904,0.114,2.7100000000000003e-06,120.755,213677.0,4
The Pretty Things,She's a Lover,0.439,0.795,-9.424,1,0.0314,0.00407,0.296,7.89e-06,84.846,212067.0,4
Tha Dogg Pound,"New York, New York",0.827,0.532,-4.775,1,0.302,0.0219,0.127,6.94e-06,87.257,290440.0,4
BLAB,Casual Sex,0.709,0.685,-7.573,1,0.0281,0.0355,0.0389,7e-06,129.987,194567.0,4
Mighty Sam McClain,When the Hurt Is Over,0.583,0.143,-15.786,1,0.148,0.676,0.117,5.330000000000001e-06,156.009,371496.0,3
Trillary Banks,Last Man Standing,0.704,0.579,-9.331,1,0.418,0.287,0.139,7.12e-06,142.815,176667.0,4
El Goodo,Feel so Fine,0.247,0.88,-3.057,1,0.097,2.01e-05,0.122,3.3300000000000003e-06,134.445,237493.0,4
Keb' Mo',The Medicine Man [Feat. Old Crow Medicine Show],0.801,0.637,-6.406,1,0.0565,0.169,0.0925,7.690000000000001e-06,77.012,218360.0,4
Why Bonnie,Athlete,0.539,0.578,-8.522,1,0.0278,0.0987,0.28,3.5299999999999997e-06,102.03,191890.0,4
Snoop Dogg,Beautiful,0.907,0.695,-6.268,0,0.135,0.246,0.0808,9.61e-06,101.007,298307.0,4
MOD SUN,Stay Away (feat. Machine Gun Kelly & Goody Grace),0.667,0.636,-5.669,1,0.082,0.022,0.0908,1.52e-06,158.058,151891.0,4
Turbo Knight,Rasengan,0.436,0.944,-7.981,1,0.0398,0.0035,0.105,5.88e-06,110.002,307545.0,4
The Black Crowes,Sometimes Salvation,0.366,0.662,-4.914,1,0.034,0.00261,0.0594,3.62e-06,148.34,284000.0,3
"Britney Spears, will.i.am",Big Fat Bass (feat. will.i.am),0.777,0.71,-4.717,1,0.0919,0.0295,0.192,6.730000000000001e-06,129.945,4.747333333,4
Radiohead,Burn the Witch,0.54,0.847,-6.52,1,0.0297,0.303,0.109,6.2e-06,148.936,220609.0,4
Oceans,Shark Tooth,0.435,0.889,-6.462,0,0.0474,2.38e-05,0.87,3.4399999999999997e-06,93.896,198345.0,4
Arctic Monkeys,R U Mine?,0.288,0.758,-5.692,0,0.0371,0.00616,0.303,6.19e-06,97.094,201726.0,4
The Stranglers,Golden Brown,0.562,0.383,-15.474,1,0.0304,0.143,0.138,5.989999999999999e-06,93.764,206760.0,3
Joe Bonamassa,Cradle Rock,0.411,0.91,-4.867,1,0.0392,0.000243,0.0931,6.13e-06,106.675,230027.0,4
LeRoi Thirteen,Stand up and Shout (Cover),0.49,0.974,-4.295,1,0.115,0.000546,0.336,2.57e-06,108.946,229617.0,4
Us The Duo,drivers license,0.374,0.35,-11.48,1,0.176,0.843,0.188,1.29e-06,74.464,3.81156667,1
Keller Williams,Right Here,0.633,0.194,-14.543,1,0.0729,0.885,0.111,4.2099999999999995e-06,143.376,348383.0,4
Primal Scream,Movin' on Up,0.523,0.76,-12.437,1,0.0325,0.103,0.0666,5.8099999999999994e-06,94.267,228267.0,4
Lil Son Jackson,Upstairs Boogie,0.593,0.438,-13.451,0,0.028,0.883,0.317,7.58e-06,130.225,136560.0,3
Drake,Passionfruit,0.809,0.463,-11.377,1,0.0396,0.256,0.109,3.64e-06,111.98,4.98235,4
Abstract Orchestra,New Day,0.748,0.411,-6.06,0,0.0489,0.0532,0.115,3.39e-06,91.941,145052.0,4
Luther Allison,Soul Fixin' Man,0.529,0.595,-13.696,1,0.0375,0.0227,0.0326,7.67e-06,134.642,187827.0,4
Elena Falwell,Elegi For Cello,0.167,0.148,-19.539,1,0.0347,0.955,0.111,4e-07,76.412,2.7204,3
Sharon Van Etten,Comeback Kid,0.543,0.927,-5.209,1,0.0755,0.000342,0.0327,3.54e-06,120.097,182333.0,4
beabadoobee,"Don‚Äôt You (Forget About Me) - live from Abbey Road Studios, London",0.644,0.891,-5.147,1,0.0526,0.00111,0.118,5.04e-06,110.007,239488.0,4
R.E.M.,Drive,0.467,0.432,-11.753,1,0.0283,0.175,0.226,2.38e-06,142.642,271333.0,4
FCG Heem,Shinin,0.514,0.387,-11.51,0,0.409,0.0753,0.0485,4.61e-06,84.112,186812.0,4
The Beatles,She's Leaving Home - Remastered,0.381,0.214,-11.629,1,0.0337,0.944,0.106,3.9300000000000005e-06,127.581,3.586,3
Tom The Mail Man,Taking Over,0.762,0.516,-8.016,0,0.0969,0.0288,0.0966,7.21e-06,156.97,158000.0,4
ANSON,Ghost,0.357,0.943,-6.168,0,0.101,0.000547,0.145,4.82e-06,147.217,209682.0,4
Jimmy Eat World,All The Way (Stay),0.576,0.931,-2.491,1,0.0563,0.00085,0.143,7.35e-06,133.986,245747.0,4
dempsey hope,picture perfect,0.61,0.482,-9.137,1,0.137,0.299,0.0527,8.69e-06,73.628,147013.0,4
Howie Lee,Birdy Island,0.491,0.504,-13.581,0,0.0566,0.625,0.222,1.4499999999999999e-06,159.911,258771.0,4
Pit Pony,Dutch Courage,0.117,0.916,-3.281,1,0.0723,1.39e-05,0.219,4.23e-06,151.886,270205.0,4
Niko B,Who's That What's That,0.86,0.668,-8.512,1,0.221,0.423,0.096,2.3699999999999998e-06,128.096,240000.0,4
Dan + Shay,Good Things,0.529,0.621,-6.018,1,0.0296,0.13,0.173,6.17e-06,97.189,2.48178333,4
Gossip,Standing In the Way of Control,0.697,0.919,-6.174,1,0.029,0.00694,0.203,9.43e-06,118.341,256400.0,4
Gone Is Gone,Breaks,0.407,0.932,-6.252,1,0.113,0.00363,0.229,1.73e-06,102.954,235214.0,4
Violent Soho,Covered in Chrome,0.564,0.753,-5.223,1,0.0433,0.00512,0.167,4.14e-06,152.064,212547.0,4
Mr. Oizo,Positif,0.744,0.928,-5.628,0,0.0495,0.000409,0.132,5.07e-06,123.014,171120.0,4
Cage The Elephant,Skin and Bones,0.539,0.788,-3.227,0,0.0396,0.0089,0.29,3.5699999999999997e-06,159.986,196173.0,4
Carusella,Star Quality,0.431,0.967,-4.555,1,0.114,0.00159,0.142,1.79e-06,146.623,269440.0,4
Faith No More,Falling to Pieces,0.545,0.919,-7.679,1,0.0483,0.00269,0.0978,3.86e-06,104.364,313573.0,4
FLO,D's,0.266,0.294,-11.938,0,0.0291,0.771,0.107,3.9699999999999997e-07,137.941,811077.0,3
Pathiena,The Deepest Of Sorrow,0.645,0.329,-16.642,1,0.0419,0.239,0.375,1.84e-06,128.099,3.545833333,4
The Offspring,Coming for You,0.508,0.912,-1.798,1,0.0827,9.75e-05,0.0669,5.330000000000001e-06,139.381,228587.0,4
Pain of Salvation,Meaningless,0.579,0.661,-4.011,1,0.0422,0.0675,0.303,3.74e-06,144.909,287467.0,3
Lenny Kravitz,Stand By My Woman,0.521,0.527,-6.371,1,0.0296,0.0931,0.106,2.73e-06,122.271,259627.0,4
Black Sabbath,Paranoid,0.426,0.619,-11.501,0,0.0722,8.44e-05,0.17,3.82e-06,162.721,2.80733333,4
The Dark Element,Songs the Night Sings,0.449,0.854,-8.261,1,0.0431,4.62e-05,0.246,4.08e-06,152.142,309827.0,4
Henry Gray,Let's Get High,0.698,0.609,-6.993,1,0.0485,0.743,0.188,6.650000000000001e-06,131.057,232413.0,4
Noah Kahan,Young Blood - Acoustic,0.691,0.231,-10.512,1,0.0471,0.815,0.103,2.98e-06,85.153,3.34355,4
The First Edition,Just Dropped In (To See What Condition My Condition Was In),0.58,0.551,-9.898,0,0.0582,0.181,0.15,5.16e-06,115.896,201213.0,4
Alka Yagnik,Aaye Ho Meri Zindagi Mein - Female Version,0.565,0.754,-11.636,0,0.0344,0.678,0.0756,9.22e-06,135.01,6.05555,3
Bryan Adams,I Think About You,0.616,0.551,-7.27,1,0.0249,0.155,0.099,6.18e-06,75.027,216373.0,4
The Shins,Simple Song,0.546,0.878,-5.137,1,0.0525,0.0133,0.135,3.5e-06,119.945,255400.0,4
benny blanco,Care (with Omar Apollo),0.618,0.215,-12.8,1,0.04,0.759,0.109,2.14e-06,90.004,290466.0,4
The 1975,She's American,0.639,0.859,-3.923,1,0.0554,0.18,0.0798,5.23e-06,115.97,270104.0,4
Winger,Seventeen,0.577,0.676,-11.931,1,0.0295,0.000895,0.0625,6.7600000000000005e-06,95.98,245267.0,4
Townes Van Zandt,Waitin' Around To Die,0.551,0.233,-18.251,0,0.0312,0.71,0.11,6.5900000000000004e-06,89.574,165187.0,4
Piers Faccini,Bring Down The Wall,0.454,0.387,-10.159,0,0.0417,0.406,0.0783,6.86e-06,97.995,205533.0,4
Athletic Progression,Stepney Tale,0.632,0.8,-7.227,0,0.234,0.547,0.147,4.96e-06,92.757,209833.0,4
Thirty Seconds To Mars,Dangerous Night,0.295,0.715,-6.533,1,0.0709,0.00212,0.242,2.42e-06,86.937,199773.0,4
Pete Rock & C.L. Smooth,Straighten It Out,0.77,0.656,-11.169,0,0.246,0.11,0.0793,7.88e-06,98.82,253413.0,4
Peter Case,Bumble Bee,0.717,0.245,-10.908,0,0.0493,0.665,0.385,5.02e-06,83.554,214933.0,4
Menahan Street Band,Queens Highway,0.778,0.399,-8.984,1,0.0858,0.0751,0.103,3.21e-06,137.305,67720.0,4
Butcher Babies,Sleeping with the Enemy,0.438,0.951,-5.192,0,0.0736,4.63e-05,0.351,4.61e-06,165.088,212927.0,4
MICROCORPS,DOR,0.451,0.776,-11.756,0,0.0587,0.0518,0.11,6.09e-06,177.953,331304.0,4
Sarah Palu,Ikivirta,0.617,0.375,-11.889,0,0.0319,0.742,0.109,1.17e-06,151.983,387547.0,4
Saltatio Mortis,Kaufmann und Maid,0.565,0.768,-5.332,0,0.0382,0.0277,0.0725,5.7999999999999995e-06,124.006,223907.0,4
JADHU,Fling,0.62,0.835,-6.711,0,0.0319,0.273,0.113,6.989999999999999e-06,99.022,225072.0,4
Bring Me The Horizon,Parasite Eve,0.589,0.797,-5.464,1,0.15,0.0289,0.383,2.3200000000000002e-06,102.489,291813.0,4
Frost*,Day and Age - Edit,0.443,0.858,-6.935,1,0.0378,0.000843,0.18,3.4e-06,169.951,301533.0,4
Toto Espinoza,Frida Kahlo,0.605,0.162,-12.932,0,0.0353,0.98,0.104,1.26e-06,95.576,5.735216667,3
T-Bone Walker,Evil Hearted Woman - Alternate Take,0.624,0.26,-11.64,1,0.0621,0.904,0.0825,5.510000000000001e-06,51.0,156933.0,4
K. J. Yesudas,Do Din Ki Jawani - Adalat / Soundtrack Version,0.513,0.658,-7.185,0,0.0622,0.512,0.21,6.979999999999999e-06,145.896,3.181333333,4
Jimi Hendrix,Purple Haze,0.533,0.905,-5.27,1,0.0754,0.00876,0.0698,4.86e-06,108.9,2.84688333,4
Eskiz,Aborjinin T√ºrk√ºs√º,0.588,0.747,-6.064,1,0.0498,0.116,0.244,2.6300000000000002e-06,138.067,249000.0,4
Lowest Creature,Reapers Fool,0.487,0.975,-4.974,1,0.105,7.47e-05,0.201,5.2600000000000005e-06,139.964,202019.0,4
Neon Trees,Animal,0.482,0.829,-5.576,1,0.0437,0.00034,0.378,7.3899999999999995e-06,147.99,212307.0,4
JJ Lin,Bedroom (feat. Anne-Marie),0.369,0.424,-5.431,1,0.0318,0.64,0.184,1.81e-06,179.597,203991.0,4
Foreign Air,Monsters,0.552,0.673,-4.9,0,0.0298,0.00553,0.114,1.7399999999999999e-06,89.993,224053.0,4
S. P. Balasubrahmanyam,Mere Rang Mein Rangne Wali,0.548,0.347,-14.7,0,0.0362,0.771,0.124,4.98e-06,117.75,6.90355,4
Scary Kids Scaring Kids,Holding On,0.421,0.935,-5.153,0,0.0697,0.000442,0.1,4.5500000000000005e-06,165.02,261240.0,4
Lawrence of Arcadia,David Keenan,0.524,0.336,-8.034,1,0.0415,0.841,0.111,4.58e-06,110.964,4.757883333,5
Nirvana,In Bloom,0.436,0.876,-4.902,0,0.0647,3.33e-05,0.205,5.12e-06,157.044,255080.0,4
Berry Sakharof,77' - Acoustic Live,0.5,0.47,-7.996,1,0.0345,0.642,0.276,3.46e-06,158.809,268400.0,4
Breezie 311,Shots In The Dark,0.705,0.756,-5.274,0,0.0415,0.00477,0.0892,8.46e-06,129.98,141875.0,4
Ghali,Combo (feat. Mr Eazi),0.825,0.781,-4.732,0,0.107,0.0833,0.26,8.12e-06,100.013,176012.0,4
Gwar,Sick of You,0.657,0.535,-9.715,1,0.047,0.000329,0.318,7.38e-06,132.257,188830.0,4
Downset,Empower,0.58,0.93,-5.719,1,0.12,0.0128,0.102,5.3400000000000005e-06,97.917,144267.0,4
Blue Material,Blue Blood,0.621,0.602,-7.796,0,0.0279,0.000316,0.134,6.09e-06,116.011,230152.0,4
Sempra,B Mine?,0.754,0.92,-4.484,0,0.05,0.183,0.187,9.659999999999999e-06,147.998,266133.0,4
Malcolm McLaren,Buffalo Gals,0.881,0.636,-13.617,0,0.156,0.0257,0.207,6.16e-06,108.863,259427.0,4
Arcade Fire,Ready to Start,0.282,0.932,-4.701,1,0.0387,0.12,0.0692,5.36e-06,190.08,255893.0,4
Bad Nerves,Dreaming,0.449,0.958,-6.602,0,0.123,5.33e-06,0.148,3.89e-06,107.458,129373.0,4
3 Doors Down,Your Arms Feel Like home,0.548,0.709,-6.557,0,0.0273,0.00678,0.104,1.91e-06,119.998,224213.0,4
ARXX,Deep,0.65,0.6,-10.615,0,0.04,0.0278,0.811,7.95e-06,110.016,180203.0,4
Crown Lands,Howlin' Back Again,0.494,0.969,-2.694,1,0.222,0.172,0.148,1.65e-06,121.214,169808.0,4
The Undercover Dream Lovers,Get to You,0.761,0.707,-6.208,0,0.0356,0.68,0.0969,8.930000000000001e-06,113.976,208421.0,4
A Scent Like Wolves,Telephone,0.553,0.939,-4.04,0,0.0795,0.000833,0.404,3.69e-06,124.984,198840.0,4
Otis Junior,When It's Sweet,0.824,0.489,-5.669,0,0.0692,0.302,0.0887,7.71e-06,86.815,160250.0,4
Madhav Gopi Nair,Mukti,0.349,0.336,-11.111,1,0.0292,0.723,0.154,6.2e-07,112.966,111765.0,5
The Sequence,Funk You Up - 12'' Version,0.921,0.768,-5.735,1,0.311,0.507,0.053,7.75e-06,103.713,652320.0,4
Advaita,Ghir Ghir,0.601,0.728,-10.469,1,0.0436,0.378,0.368,8.62e-06,137.99,5.09355,3
John Campbell,Devil in My Closet,0.353,0.495,-11.503,1,0.0344,0.000119,0.13,5.669999999999999e-06,81.018,360600.0,4
Dan + Shay,Glad You Exist,0.748,0.551,-6.12,1,0.0349,0.235,0.119,6.6e-06,103.953,2.408883333,4
Gymshorts,Gotta Get Away,0.15,0.843,-8.369,1,0.0439,0.000127,0.665,7.29e-06,180.034,145932.0,4
Liz Phair,Fuck and Run,0.774,0.64,-7.949,1,0.0333,0.743,0.088,9.469999999999999e-06,136.226,187933.0,4
Stephen Taranto,Pixel Heart: Verdant,0.373,0.964,-7.925,0,0.0798,0.000152,0.109,2.07e-06,83.958,312363.0,4
Deep Purple,Gettin' Tighter,0.42,0.831,-9.069,1,0.0754,0.00028,0.153,7.52e-06,120.867,218173.0,4
Loyle Carner,Yesterday,0.428,0.98,-2.975,0,0.443,0.0734,0.127,4.23e-06,92.035,168654.0,4
Nickelback,Rockstar,0.616,0.91,-3.004,1,0.0386,0.0459,0.343,6.93e-06,144.072,252040.0,4
Post Malone,Motley Crew,0.797,0.631,-3.818,0,0.0786,0.0904,0.0998,2.88e-06,129.915,3.07021667,4
Olivia Rodrigo,good 4 u,0.563,0.664,-5.044,1,0.154,0.335,0.0849,6.879999999999999e-06,166.928,2.96911667,4
Rema,Bounce,0.463,0.847,-6.776,0,0.0511,0.0307,0.117,6.25e-06,114.962,187783.0,4
Charlie Puth,Cheating on You,0.749,0.535,-6.785,1,0.0336,0.0131,0.0982,6.01e-06,123.042,196607.0,4
Ulver,Little Boy,0.283,0.41,-14.35,1,0.0423,0.00106,0.109,6.12e-07,91.127,323430.0,4
Alien Ant Farm,Smooth Criminal,0.653,0.964,-4.261,0,0.0582,0.00316,0.144,8.7e-06,126.928,209267.0,4
Live,Selling The Drama,0.45,0.914,-6.741,1,0.0647,0.0106,0.101,3.36e-06,124.42,208293.0,4
Something Corporate,Punk Rock Princess,0.522,0.881,-5.231,1,0.0847,0.00303,0.0939,3.69e-06,130.084,232200.0,4
Buzzcocks,Ever Fallen in Love (With Someone You Shouldn't've)?,0.266,0.831,-9.07,1,0.0453,0.000862,0.0555,7.78e-06,175.514,163693.0,4
Enamour,Dragonfly,0.754,0.795,-9.793,0,0.0384,0.0186,0.0852,2.1e-06,122.007,259606.0,4
mehro,chance with you,0.562,0.494,-8.13,0,0.0278,0.864,0.153,3.83e-06,144.104,215516.0,4
Christian L√∂ffler,Pastoral,0.163,0.191,-20.924,1,0.0365,0.937,0.0961,3.35e-07,105.104,220630.0,3
Mark Ronson,Uptown Funk (feat. Bruno Mars) - Radio Edit,0.823,0.66,-4.698,1,0.103,0.00681,0.269,9.56e-06,114.489,228493.0,4
Rosie Flores,Simple Case of the Blues,0.65,0.63,-6.787,0,0.04,0.278,0.119,7.4e-06,107.69,218747.0,4
Ayron Jones,Take Me Away,0.475,0.844,-4.448,0,0.0622,0.00012,0.221,5.54e-06,156.136,246933.0,4
Dream Drop,Reckless Demon Youth,0.375,0.927,-5.385,0,0.123,0.000111,0.193,4.14e-06,183.998,183040.0,4
Langston Hughes,I Have Known Rivers,0.713,0.146,-14.163,1,0.54,0.784,0.212,4.7399999999999995e-06,89.267,66490.0,5
Abby Wolfe,Take It Slow,0.676,0.537,-7.974,1,0.0333,0.51,0.0898,3.88e-06,88.001,181569.0,4
Eagles,Life in the Fast Lane - 2013 Remaster,0.667,0.755,-7.246,1,0.069,0.0966,0.0523,8.83e-06,109.535,4.77033333,4
Die Apokalyptischen Reiter,Tiki,0.408,0.943,-5.247,1,0.129,0.0058,0.343,1.6e-06,98.089,152252.0,4
Icon of Sin,Virtual Empire,0.494,0.958,-7.765,0,0.0511,0.0361,0.387,3.13e-06,145.055,352943.0,4
Spirit Adrift,Supernaut,0.425,0.925,-6.246,1,0.105,2.22e-05,0.0973,3.13e-06,118.066,282978.0,4
Eric B. & Rakim,Microphone Fiend,0.586,0.795,-8.71,1,0.258,0.354,0.187,6.94e-06,94.101,314600.0,4
"Kayla Nicole, Taylor Girlz",Bundles (feat. Taylor Girlz),0.939,0.682,-5.931,1,0.306,0.00152,0.0552,5.84e-06,130.022,2.5801,4
The Rapture,How Deep Is Your Love?,0.472,0.826,-3.938,0,0.0594,0.000617,0.187,1.32e-06,122.326,385920.0,4
A Day To Remember,All I Want,0.349,0.981,-3.228,0,0.141,2.58e-05,0.343,2.07e-06,160.042,202640.0,4
Morgan Evans,Love Is Real,0.645,0.732,-5.089,1,0.0453,0.00853,0.198,7.08e-06,95.02,2.716216667,4
Wilco,Random Name Generator,0.621,0.962,-6.469,1,0.0454,0.282,0.132,6.53e-06,143.99,229489.0,4
DOECHII,Yucky Blucky Fruitcake,0.597,0.617,-7.482,0,0.282,0.463,0.66,8.89e-06,97.923,4.592,4
Brothers Osborne,I Don't Remember Me (Before You),0.614,0.614,-7.497,0,0.0314,0.104,0.104,5.9799999999999995e-06,146.03,3.211333333,4
Zero 9:36,Come Thru,0.613,0.86,-4.065,1,0.0425,0.0247,0.438,6.38e-06,93.042,177227.0,4
Róisín O,Lose You to Love Me,0.349,0.0929,-15.315,1,0.0529,0.944,0.0864,2.93e-06,176.177,3.96591667,3
DIIV,Skin Game,0.484,0.754,-6.326,0,0.0383,0.00011,0.123,3.99e-06,124.971,265467.0,4
The Swellers,The Best I Ever Had,0.359,0.983,-3.69,0,0.0864,9.09e-05,0.335,4.86e-06,193.042,239560.0,4
Emery,Walls,0.274,0.915,-5.259,0,0.167,0.0139,0.161,4.19e-06,169.161,203707.0,4
Lionel Richie,Stuck On You - Live,0.439,0.682,-9.044,1,0.042,0.113,0.973,3.4499999999999996e-06,142.113,4.33955,4
Foo Fighters,All My Life,0.577,0.604,-5.703,1,0.0495,0.000218,0.477,6.37e-06,167.719,263440.0,4
Gucci Mane,Jumped Out the Whip (feat. A$AP Rocky),0.811,0.46,-5.924,1,0.351,0.0694,0.13,4e-06,141.937,216373.0,4
"Luiz Bonfá, Panos Megarchiotis",Passeio No Rio - Arranged by Carlos Barbosa-Lima,0.571,0.158,-16.835,1,0.0779,0.964,0.108,3.08e-06,114.315,3.068233333,4
Concha Piquer,Ojos verdes,0.658,0.12,-9.397,0,0.136,0.983,0.101,2.78e-06,104.208,198213.0,3
